Video Link,Video Views,Video Title,Channel URL,Creator Name,Creator Gender,Total Channel Subcribers,Total Chanel Views,Duration of Video,Duration in Seconds,Date of Video Upload,No of Likes,Language of the Video,Subtitle,Video Description,Hashtags,No of Comments,Date of the Last Comment,Maximum Quality of the Video,No of Videos the Channel,No of Playlist,Premiered or Not,Community Engagement (Posts per week),Intern Who Collected the Data
https://www.youtube.com/watch?v=0BBROgyHlFE,"5,599,742",ROUNDER GLUTES: 5 Mistakes Keeping Your Butt Flat,https://www.youtube.com/c/JeremyEthier,Jeremy Ethier,Male,4690000,511124108,00:09:43 ,583.00,03-07-2022,70000,English,Yes,Yes,0,1558,21-09-2022,1080,216,8,No,0,prateek
https://www.youtube.com/watch?v=0HheRYQ9ass,"25,052",The BEST Mockups You Will Find Online!,Satori Graphics - YouTube,Satori,Male,999000,58048539,0:05:51,351.00,8/24/2022,1400,English,yes,Yes,0,70,9/1/2022,1080,918,76,No,2,Rahul Singh
https://www.youtube.com/watch?v=0jUj3rfO7eM,"50,176,015",THARA BHAiiiii,CarryMinati - YouTube,Ajey,Male,36800000,3013145951,0:14:32,872.00,1/19/2022,630000,Hindi,Yes,Yes,0,344247,9/21/2022,1080,179,8,No,1,Rahul Singh
https://www.youtube.com/watch?v=0Kx3sobEBFE,"94,029,821",Camila Cabello - Don't Go Yet (Official Video),https://www.youtube.com/channel/UCk0wwaFCIkxwSfi6gpRqQUw,Camila Cabello,Female,160000000,6165551266,0:03:02,182.00,7/31/2021,983000,English,Yes,Yes,2,15842,9/22/2022,1080,180,41,No,2,Syed safdar
https://www.youtube.com/watch?v=0MtWtPEbTb0,"21,274,487",Sugino Sensei 10th Dan Master of Katori Shinto Ryu,https://www.youtube.com/c/100healthyears,100 Years Of Health,N/A,25500,21328785,00:04:16 ,256.00,03-05-2010,196000,Japenese,No,Yes,7,16733,21-09-2022,240,308,21,No,0,prateek
https://www.youtube.com/watch?v=0vOeQehhXg4,"371,268",Dar es salaam to kilimanjaro flight,https://www.youtube.com/c/NaaAnveshana,Naa Anveshana,Male,526000,138395780,00:24:00 ,"1,440.00",9/3/2022,20000,Telugu,No,Yes,0,1221,9/5/2022,2160,850,43,No,7,Akhil Teja
https://www.youtube.com/watch?v=0Wd7ZhGSkRo,"1,250,286",Hands-on: DJI’s FPV is so immersive you’ll feel like you’re flying at nearly 90mph,CNET - YouTube,CNET,N/A,35300000,1582960304,0:06:15,375.00,3/2/2021,12000,English,Yes,Yes,0,1000,9/11/2022,2160,20899,170,No,2,Rahul Singh
https://www.youtube.com/watch?v=1_KX_mJM2yA,"115,636",SUNDAY ATROCITIES | FITNESS INFLUENCER’S LIFE ??????? ,https://www.youtube.com/channel/UC4tAmPlk4IqPjYBcchbyeXg,Raja ajith,Male,29200,1951843,0:08:28,508.00,8/30/2022,2600,Tamil,Yes,Yes,0,77,9/20/2022,1080,47,1,No,1,Thinesh
https://www.youtube.com/watch?v=10Kqx6bUlXc,"1,770,573",Are We Alone?,Aperture - YouTube,Aperture,Male,16000000,116090698,0:20:15,"1,215.00",10/18/2022,42000,English,yes,Yes,0,6137,8/21/2022,2160,145,4,No,3,Rahul Singh
https://www.youtube.com/watch?v=11QEwxkEmAE,"235,881",Acharya Movie Review,https://www.youtube.com/c/BarbellPitchMeetings,Barbell Pitch Meetings,Male,63200,7953522,00:08:08 ,488.00,4/29/2022,10000,Telugu,No,Yes,0,1330,5/14/2022,1080,68,2,Yes,1,Akhil Teja
https://www.youtube.com/watch?v=11vxt-Bo51Y&t=106s,"11,234,302",I opened free 5 star hotels for poor,https://www.youtube.com/c/HarshaSaiForYou,Harsha Sai - For You Telugu,Male,7060000,665465558,00:19:49 ,"1,189.00",8/3/2022,1100000,Telugu,No,Yes,1,78759,9/4/2022,2160,108,11,No,1,Akhil Teja
https://www.youtube.com/watch?v=12deJL0PFlw,"151,671,688",Seaworld SHAMU Killer Whale Show,https://www.youtube.com/c/videotragic,Videotragic,N/A,405000,151596424,00:09:53 ,593.00,18-07-2009,911000,English,No,Yes,0,32478,21-09-2022,720,15,0,No,0,prateek
https://www.youtube.com/watch?v=15NtFld9mVM,"68,333",5 Advanced Tips on how to use IF formula in Excel that will SURPRISE you,Chandoo - YouTube,Purna Buggirala,Male,2930000,21517243,0:09:28,568.00,6/28/2022,1900,English,Yes,Yes,2,135,9/11/2022,1080,383,45,No,2,Rahul Singh
https://www.youtube.com/watch?v=1BpYbEi2QcI,"8,551,935",Do 100 PUSH UPS A Day | Life Changing,https://www.youtube.com/c/CHRISHERIA,Chris Heria,Male,4200000,310394965,00:13:28 ,808.00,30-10-2020,217000,English,Yes,Yes,0,6603,21-09-2022,1080,253,20,No,1,prateek
https://www.youtube.com/watch?v=1CR0QmCaMTs,"153,649,156",Fabiolous Escape 2,Fabio Wibmer - YouTube,Fabio Wibmer,Male,72600000,1381226940,0:10:00,600.00,4/24/2018,2100000,N/A,No,Yes,0,33768,9/22/2022,1080,264,7,No,1,Rahul Singh
https://www.youtube.com/watch?v=1h7n0YiyYvk,"3,517,520",Pokémon Journeys,Pokémon Asia Official (Hindi) - YouTube,Pokémon Asia Officia,N/A,2190000,300672370,0:21:18,"1,278.00",8/26/2022,0,Hindi,No,Yes,3,0,N/A,1080,67,4,No,0,Rahul Singh
https://www.youtube.com/watch?v=2BDHD9xuycE&t=8s,"1,118,970",Types Of First Dates | Niharika Nm,https://www.youtube.com/c/NiharikaNm,Niharika Nm,Female,1930000,359288086,00:10:03 ,603.00,9/8/2020,39000,English,Yes,Yes,1,2861,9/9/2022,1080,83,,No,0,Akhil Teja
https://www.youtube.com/watch?v=2btS31AU3Iw,"3,346,789",How to build Dynamic & Interactive Dashboard in EXCEL with Pivot Tables&Charts | Tutorial Episode #1,https://www.youtube.com/c/OtherLevel%E2%80%99s,Other Level’S,N/A,219000,11785885,00:30:37 ,"1,837.00",15-06-2020,43000,English,No,Yes,3,494,17-09-2022,1080,86,11,No,2,prateek
https://www.youtube.com/watch?v=2i0Vnjasnwo&t=1044s,"909,640",Mercedes-Benz GLS 400D 4MATIC Review || In Telugu ||,https://www.youtube.com/channel/UCBVDOqAOemETfc-MOn4fqgA,PrasadAutomobile,Male,209000,5827463,00:24:35 ,"1,475.00",8/31/2022,34000,Telugu,No,Yes,0,1368,9/2/2022,2160,13,,No,0,Akhil Teja
https://www.youtube.com/watch?v=2jVBWyih-RU,"2,858,740",Cars on the Road - Cast - TRUCKS,DisneyMusicVEVO - YouTube,Disney,N/A,30300000,25216557237,0:03:19,199.00,9/16/2022,3100,English,yes,Yes,2,0,N/A,1080,1812,43,No,2,Rahul Singh
https://www.youtube.com/watch?v=2Qsn7QHS1XU,"2,140,193",Why You Should Skip the iPhone 14...,https://www.youtube.com/c/unboxtherapy,Unbox Therapy,Male,18200000,4357678046,00:20:04 ,"1,204.00",9/21/2022,21000,English,Yes,Yes,0,3847,9/22/2022,2160,2064,11,No,0,Akhil Teja
https://www.youtube.com/watch?v=2Vv-BfVoq4g,"3,278,291,072",Ed Sheeran - Perfect,Ed Sheeran - YouTube,Ed Sheeran,Male,52400000,28173317993,0:04:39,279.00,11/9/2017,18000000,English,No,Yes,3,476983,9/21/2022,2160,257,30,No,0,Rahul Singh
https://www.youtube.com/watch?v=35QGGFMHuAY,"68,789",Volkswagen Polo All Variants | Gone But Not Forgotten,https://www.youtube.com/c/evoIndia,evo India,Male,258000,45520950,00:29:02 ,"1,742.00",8/19/2022,2600,English,No,Yes,1,223,8/22/2022,2160,762,11,No,1,Akhil Teja
https://www.youtube.com/watch?v=3jS_yEK8qVI,"138,831,703",World’s Most Dangerous Escape Room!,https://www.youtube.com/user/MrBeast6000,MrBeast ,Male,104000000,17367031867,0:08:00,480.00,1/30/2022,4000000,English,Yes,Yes,0,144901,9/22/2022,1080,728,7,No,0,Syed safdar
https://www.youtube.com/watch?v=3NVs--u1JZg,"99,876",Solus GT: Performance at the intersection of fantasy and reality,McLaren Automotive - YouTube,McLaren Automotive,N/A,277000,48136318,0:01:10,70.00,8/20/2022,4700,N/A,No,Yes,3,480,9/21/2022,2160,366,12,No,0,Rahul Singh
https://www.youtube.com/watch?v=3SsK-cxlj_w,"17,476,468",25 Greatest Natural Wonders of the World - Travel Video,https://www.youtube.com/c/touropia,touropia,N/A,1060000,189275665,0:35:03,"2,103.00",7/14/2021,98000,English,Yes,Yes,0,2616,9/22/2022,1080,107,5,No,0,Syed safdar
https://www.youtube.com/watch?v=3xtntVX3uCM,"36,559,485",School PTM,Harsh Beniwal - YouTube,Harsh Beniwal,Male,15000000,1672855100,0:14:21,861.00,1/13/2019,1600000,Hindi,No,Yes,0,40241,9/21/2022,1080,160,2,No,0,Rahul Singh
https://www.youtube.com/watch?v=3YzUHpUrxyw,"1,737,713",BEST OF 2021,Fabio Wibmer - YouTube,Fabio Wibmer,Male,72600000,1381226940,0:05:10,310.00,1/18/2022,83000,N/A,No,Yes,0,1655,9/21/2022,1080,264,7,No,1,Rahul Singh
https://www.youtube.com/watch?v=3ZuOzjepD3E,100,Unnoticable things when Storing information in Excel | YourExcelGuy,https://www.youtube.com/c/YourExcelGuy,Kadhiravan Jayachandiran,Male,326,2797,0:01:19,79.00,1/16/2022,6,English,Yes,Yes,0,0,N/A,1080,66,5,No,0,Syed safdar
https://www.youtube.com/watch?v=428zc1Ng3mg,"169,135",This Is Why Red Bull Keeps Winning Races,https://www.youtube.com/c/GPCulture,GP Culture,N/A,29700,8888869,0:09:04,544.00,9/16/2022,688,English,Yes,Yes,3,233,9/22/2022,1080,53,1,No,3,Syed safdar
https://www.youtube.com/watch?v=44UA61eY008,"445,718",Police Officers Find Out - What is JIHAD?,https://www.youtube.com/c/SabeelAhmedIslam,Sabeel Ahmed,Male,328000,37262644,0:04:55,295.00,9/14/2022,7700,English,Yes,Yes,0,799,9/22/2022,1080,350,5,No,1,Syed safdar
https://www.youtube.com/watch?v=4MVHi96NZls,"6,349,738",Every Outfit Hailey Bieber Wears in a Week,Vogue - YouTube,Vogue,N/A,12100000,3600496171,0:09:06,546.00,10/30/2020,223000,English,yes,Yes,0,4157,9/18/2022,1080,2872,113,No,1,Rahul Singh
https://www.youtube.com/watch?v=4oT2WupNkGg,"2,482,051",My favorite author’s most accessible book to date,https://www.youtube.com/c/billgates,Bill Gates,Male,2910000,374382821,00:02:09 ,129.00,03-08-2021,24000,English,Yes,Yes,0,0,N/A,1080,566,37,Yes,0,prateek
https://www.youtube.com/watch?v=4rT6UJlJ0f0,"696,197",5 Creative Layout Techniques with InDesign and Photoshop,Yes I'm a Designer - YouTube,Martin Perhiniak,Male,564000,23449558,00:17:35,"1,055.00",5/11/2020,29000,English,yes,Yes,0,320,9/21/2022,1080,647,37,No,0,Rahul Singh
https://www.youtube.com/watch?v=4VF0XURygo0,"626,871",Dance & Celebration | Laddu Auction and Nimajjan,https://www.youtube.com/c/SushmaKiron,Sushma Kiron,Female,700000,297733462,00:16:57,"1,017.00",9/20/2022,9900,Telugu,No,Yes,0,476,9/21/2022,2160,501,28,Yes,12,Akhil Teja
https://www.youtube.com/watch?v=4weR8ODzCRQ,"1,345,202",Call of Duty Modern Warfare 2: Official Gameplay Trailer | Summer Game Fest 2022,https://www.youtube.com/c/IGN,IGN,N/A,16900000,14835705155,00:07:40,460.00,6/10/2022,22000,English,No,Yes,3,1500,9/12/2022,2160,150697,9,No,42,Syed safdar
https://www.youtube.com/watch?v=5eY_12X3mWM,"2,443,779",Washing Machine | My Village Show Comedy,https://www.youtube.com/c/MyVillageShow,My Village Show,Male,2500000,692106406,00:19:34,"1,174.00",6/13/2022,89000,Telugu,Yes,Yes,0,1438,6/14/2022,2160,233,27,No,1,Akhil Teja
https://www.youtube.com/watch?v=5FAGZ33QrT4,"8,883,607",Security Check - Standup Comedy,Varun Grover - YouTube,Varun Grover,Male,9510000,63609990,00:07:28,448.00,3/5/2021,434000,Hindi,No,Yes,0,9399,9/22/2022,1080,11,0,Yes,0,Rahul Singh
https://www.youtube.com/watch?v=5Mh3o886qpg,"4,238,915",How do SSDs Work? | How does your Smartphone store data?,Branch Education - YouTube,Branch Education,N/A,776000,36,00:17:54,"1,074.00",5/9/2020,166000,English,Yes,Yes,0,6447,9/22/2022,1080,166000,5,Yes,0,Rahul Singh
https://www.youtube.com/watch?v=5oVAXOCwCWE,"4,537,582",BEST OF 2020,Fabio Wibmer - YouTube,Fabio Wibmer,Male,72600000,1381226940,00:06:30,390.00,1/21/2021,194000,N/A,No,Yes,0,4974,9/11/2022,1080,264,7,No,1,Rahul Singh
https://www.youtube.com/watch?v=5TfFVWWPw4s&t=10s,"3,762,579",Classroom Sothanaigal 3 | Micset,https://www.youtube.com/c/MicSet_official,Sri Ram,Male,7610000,457011932,00:10:08,608.00,9/21/2022,176000,Tamil,Yes,Yes,0,4054,9/20/2022,1080,44,6,No,3,Thinesh
https://www.youtube.com/watch?v=5UMCrq-bBCg,"45,332,993",Taylor Swift ft. Chris Stapleton - I Bet You Think About Me (Taylor's Version),https://www.youtube.com/c/TaylorSwift,Taylor Swift,Female,47500000,25906311446,00:06:15,375.00,11/15/2021,1500000,English,Yes,Yes,3,46497,9/22/2022,1080,426,54,Yes,0,Syed safdar
https://www.youtube.com/watch?v=5uzB4z4iN0g,"76,310",Tableau Projects For Practice With Examples,Simplilearn - YouTube,Simplilearn,N/A,20400000,246600359,00:01:12,72.00,2/17/2021,1100,English,Yes,Yes,0,279,8/21/2022,1080,4576,63,No,69,Rahul Singh
https://www.youtube.com/watch?v=670ZGMBjrPI,"11,034,838",The 48 Laws of Power,illacertus - YouTube,illacertus,Male,456000,29400394,00:29:18,"1,758.00",3/2/2017,8100,English,yes,Yes,0,8167,9/23/2022,1080,96,6,No,0,Rahul Singh
https://www.youtube.com/watch?v=68kjt7aEjEU,"12,288",Are Stress & Worry Hurting Your Sleep? Here's How to Get More Sleep,https://www.youtube.com/c/MedCircle,Medcircle,N/A,1200000,128283412,00:04:59,299.00,25-05-2019,369,English,Yes,Yes,0,30,21-09-2021,1080,349,63,Yes,3,prateek
https://www.youtube.com/watch?v=6dnqGrSKudM,"3,556,375",DJI - This is DJI Mavic 3,DJI - YouTube,DJI,N/A,14300000,403300344,00:04:08,248.00,11/5/2021,74000,English,Yes,Yes,3,3300,9/15/2022,1080,1099,90,No,9,Rahul Singh
https://www.youtube.com/watch?v=6Htn1x-_-is,"65,010,839","Alan Walker, Sabrina Carpenter & Farruko - On My Way",Farruko - YouTube,Carlos Efren Reyes Rosado,Male,18100000,8637278122,00:03:36,216.00,5/10/2019,741000,English,No,Yes,3,19071,9/21/2022,1080,316,18,No,0,Rahul Singh
https://www.youtube.com/watch?v=6iO6XhbVQfs,"1,049,688",How This Humanoid Robot Was Made,WIRED - YouTube,WIRED,N/A,9690000,3194952098,00:07:36,456.00,2/22/2022,31000,English,Yes,Yes,0,2248,9/18/2022,1080,3436,56,No,0,Rahul Singh
https://www.youtube.com/watch?v=6k7a8bw451M,"7,911,431",Japan Night Aerials in 8K,Armadas - YouTube,Armadas,N/A,167000,35759963,00:04:34,274.00,4/6/2019,134000,N/A,No,Yes,0,89000,9/21/2022,1080,59,0,No,0,Rahul Singh
https://www.youtube.com/watch?v=6lBqYInBldk,"1,342,429",How Power Query Will Change the Way You Use Excel,Leila Gharani - YouTube,Leila Gharani,Female,10910000,162667679,00:09:01,541.00,6/25/2020,20000,English,Yes,Yes,0,935,9/22/2022,1080,467,54,No,1,Rahul Singh
https://www.youtube.com/watch?v=6OoEXMpldWg,"2,801,403",Ryan Reynold’s Speech Will Leave You SPEECHLESS — Best Life Advice,https://www.youtube.com/c/MotivationMentors,Motivation Mentors,N/A,76100,13508260,00:08:20,500.00,2/1/2022,55000,English,Yes,Yes,2,1667,5/19/2022,1080,56,2,No,5,Syed safdar
https://www.youtube.com/watch?v=6Pm0Mn0-jYU,"7,728,343",Why Finland And Denmark Are Happier Than The U.S.,CNBC Make It - YouTube,CNBC Make I,N/A,1040000,238976515,00:25:44,"1,544.00",1/9/2020,131000,English,Yes,Yes,3,18306,9/21/2022,1080,2209,52,No,5,Rahul Singh
https://www.youtube.com/watch?v=6tUWYXe9qbY,"25,799,360",This Car Is Alive!,https://www.youtube.com/c/SupercarBlondie,Alex,Female,9640000,1985196029,00:06:46,406.00,6/27/2019,627000,English,Yes,Yes,0,25343,9/22/2022,1080,591,14,No,4,Syed safdar
https://www.youtube.com/watch?v=74cVT_tUpck,"56,385,391",Coke Studio Season 12 | Wohi Khuda Hai,Coke Studio - YouTube,Atif Aslam,Male,13200000,3416920219,00:06:56,416.00,10/11/2019,880000,Hindi,Yes,Yes,2,49714,9/22/2022,1080,531,86,No,1,Rahul Singh
https://www.youtube.com/watch?v=7CgXm2ZveHs,766,Byjus | Difference Inside vs Direct vs Centre Sale | BDA sale department 2022 #bda #byjus,https://www.youtube.com/channel/UC-g3NYy2viNMUjE4xrilJGw,World Of Hemant,Male,34,19181,00:02:57,177.00,04-09-2022,13,Hindi,No,Yes,11,15,21-09-2022,1080,29,0,No,0,prateek
https://www.youtube.com/watch?v=7EGD9edu-ls,"21,175,732",I Attended Spider-Man : No Way Home Premiere | Ashish Chanchlani | LA vlog,https://www.youtube.com/c/ashishchanchlanivines,Ashish Chanchlani,Male,28700000,4104120507,00:17:43,"1,063.00",12/15/2021,2000000,Hindi,No,Yes,3,49215,9/22/2022,1080,147,18,No,0,Syed safdar
https://www.youtube.com/watch?v=7EqXMwreN9Q,"22,966",Celebrating 120 Years of Excellence | Triumph Motorcycles,https://www.youtube.com/c/OfficialTriumph,Official Triumph Motorcycles,,143000,33272922,00:01:26,86.00,5/5/2022,911,English,No,Yes,0,48,5/19/2022,1080,590,32,No,0,Akhil Teja
https://www.youtube.com/watch?v=-7Fno5pNS68,"5,052",How to take care of our pond.,https://www.youtube.com/c/JonJandaiLifeisEasy,Jon Jandai Life Is Easy,Male,155000,12263799,00:11:47,707.00,19-09-2022,205,English,Yes,Yes,0,12,21-09-2021,1080,255,9,No,0,prateek
https://www.youtube.com/watch?v=7ndU9sk9q14,"3,014,644",Michael Jackson - Beat it @ghetto.spider,https://www.youtube.com/c/GhettoSpider,Ghetto Spider,Male,447000,95737920,00:04:16,256.00,07-05-2022,92000,English,No,Yes,0,5239,21-09-2022,1080,45,2,No,1,prateek
https://www.youtube.com/watch?v=7sSJtScnsjE,"149,444",Anatomy of a Magazine Layout Part 1 - 15 Terms and Definitions,Yes I'm a Designer - YouTube,Martin Perhiniak,Male,564000,23449558,00:14:22,862.00,7/6/2020,4800,English,yes,Yes,0,65,9/10/2022,1080,647,37,No,0,Rahul Singh
https://www.youtube.com/watch?v=7XUyhRbJpWU,"9,954",Talasi Abbi Falls | Hidden Waterfalls In Forest,https://www.youtube.com/c/SathishEregowda,Sathish Eregowda,Male,72100,7785571,00:08:42,522.00,6/16/2022,556000,Kannada,No,Yes,1,62,7/16/2022,1080,237,18,No,0,Akhil Teja
https://www.youtube.com/watch?v=801vCdFTt7g,"5,346,171",Inside One of The Largest PRIVATE JETS in The World,Enes Yilmazer - YouTube,Enes Yilmazer,Male,27200000,447952948,00:16:36,996.00,5/10/2022,111000,English,yes,Yes,0,3868,9/23/2022,2160,197,13,No,0,Rahul Singh
https://www.youtube.com/watch?v=82VlSSGEhkE,"130,960",1958 Jeep Willys CJ3B - The First Ever SUV,https://www.youtube.com/c/FasBeam,Faisal Khan ,Male,1610000,649353263,00:15:48,948.00,9/15/2022,2500,English,No,Yes,1,128,9/16/2022,1080,2103,14,No,7,Akhil Teja
https://www.youtube.com/watch?v=88Ew1NU7GrA,"10,370,723",Car Crash Compilation 2022 #9,https://www.youtube.com/c/CarCrashDrivingfail,Car Crash - Driving Fail,N/A,101000,31768603,00:06:55,415.00,06-03-2022,101000,English,No,Yes,3,2246,21-09-2022,1080,48,1,No,1,prateek
https://www.youtube.com/watch?v=890wWM0lg94,"7,912,055",Biggest Mystery in Aviation | What happened to MH370 Flight?,Dhruv Rathee - YouTube,Dhruv Rathee,Male,8680000,1100982120,00:20:32,"1,232.00",1/31/2022,345000,Hindi,Yes,Yes,0,12188,9/21/2022,1080,487,23,No,1,Rahul Singh
https://www.youtube.com/watch?v=8-9oFxYFODE,"56,550,661",Drag Race: Formula E Car vs Cheetah,ABB Formula E - YouTube,ABB Formula E,N/A,769000,170263099,00:01:59,119.00,11/28/2017,767000,English,Yes,Yes,0,19000,9/22/2022,1080,2240,143,No,2,Rahul Singh
https://www.youtube.com/watch?v=89S-RbszwJE,"141,644,942",Ava Max - Who's Laughing Now,Ava Max - YouTube,Ava Max,Female,58900000,2875362894,00:03:16,196.00,7/30/2020,1300000,English,No,Yes,0,39000,9/22/2022,1080,158,6,Yes,0,Rahul Singh
https://www.youtube.com/watch?v=8bPWXYM2ysU&t=10s,"28,494,371",Childhood Dreams | Aakash Gupta | Stand-up Comedy | Crowd Work,https://www.youtube.com/c/AakashGupta,Aakash Gupta,Male,3360000,269017319,00:08:47,527.00,12/19/2020,1200000,Hindi,No,No,3,12192,9/25/2022,2160,27,2,No,0,Harshit Prajapat
https://www.youtube.com/watch?v=8C_ibG489oE,"49,193,397",CLASHIVERSARY is Almost Here! RIP Barbarian?,Clash of Clans - YouTube,Clash of Clans,N/A,18900000,3659293357,00:01:04,64.00,7/26/2022,288000,N/A,No,Yes,3,9252,9/20/2022,1080,577,84,No,2,Rahul Singh
https://www.youtube.com/watch?v=8I8wuFrp7gI,"536,737",Why Israel’s Doomsday Nationalists Want To Destroy This,https://www.youtube.com/c/ajplus,AJ+,N/A,1210000,322197136,00:09:53,593.00,6/2/2022,13000,English,Yes,Yes,3,7229,9/22/2022,1080,5378,65,No,0,Syed safdar
https://www.youtube.com/watch?v=8kPftujhLBo&t=65s,"71,798","Barbell ""Biryani"" Meal Plan || High Protein tasty biryani",https://www.youtube.com/c/BarbellBiryani,Barbell Biryani,Male,96900,8120683,00:15:58,958.00,5/28/2022,3500,Telugu,No,Yes,0,248,5/29/2022,1080,86,8,No,1,Akhil Teja
https://www.youtube.com/watch?v=8LKSwc-P-cE,"259,396",Motorola Edge 30 Fusion Overview,https://www.youtube.com/c/geekyranjit,Geekyranjit,Male,3320000,801193944,00:13:07,787.00,9/13/2022,6800,English,No,Yes,0,1075,9/14/2022,2160,3205,149,No,0,Akhil Teja
https://www.youtube.com/watch?v=8MapFmEnDa4,"3,527,393",The True Cost Of Killer Drones | True Cost | Business Insider,https://www.youtube.com/user/businessinsider,Business Insider,N/A,6860000,3134231533,00:11:46,706.00,16-08-2022,28000,English,Yes,Yes,0,2675,21-09-2022,1080,5319,78,No,13,prateek
https://www.youtube.com/watch?v=8PopR3x-VMY,"2,329,284",C Programming For Beginners | Learn C Programming | C Tutorial For Beginners | Edureka,https://www.youtube.com/c/edurekaIN,Edureka,N/A,3530000,339868101,02:11:07,"7,867.00",10/15/2019,39000,English,Yes,Yes,0,294,9/5/2022,1080,7487,150,No,67,Syed safdar
https://www.youtube.com/watch?v=-8VfKZCOo_I,"124,158,710",Camila Cabello - Bam Bam (Official Music Video) ft. Ed Sheeran,https://www.youtube.com/channel/UCk0wwaFCIkxwSfi6gpRqQUw,Camila Cabello,Female,160000000,6165551266,00:04:16,256.00,3/4/2022,1700000,English,Yes,Yes,3,36550,9/22/2022,1080,180,41,No,2,Syed safdar
https://www.youtube.com/watch?v=9edWX7TTsLw,"1,462,380",Who owns water?,DW Documentary - YouTube,DW Documentary,N/A,4320000,708836991,00:42:26,"2,546.00",8/24/2022,11000,English,Yes,Yes,3,3022,9/21/2022,1080,857,22,No,0,Rahul Singh
https://www.youtube.com/watch?v=9eh4yLBHp7E,"143,581",All time FAVORITE Grips,Levinho - YouTube,Levinho,Male,11000000,2020309659,00:11:11,671.00,9/21/2022,9000,N/A,Yes,Yes,3,372,9/21/2022,1080,1869,6,No,5,Rahul Singh
https://www.youtube.com/watch?v=9ovBLDnUF1k,"295,899",My New Supercar Makeover!,Supercar Blondie - YouTube,Alex Hirschi,Female,97000000,1996301312,00:08:29,509.00,9/3/2022,11000,English,yes,Yes,0,824,9/23/2022,1080,592,26,No,2,Rahul Singh
